Title,Authors,Abstract,Publication Date,Journal,DOI,Citations
Big Data-based Carbon Efficiency Grading Evaluation Method of Green Energy Power Generation Projects,"{'authors': [{'affiliation': 'School of Electrical Engineering, Shanghai University of Electric Power, Shanghai, China', 'authorUrl': 'https://ieeexplore.ieee.org/author/37089897328', 'id': 37089897328, 'full_name': 'Yiwen Sun', 'author_order': 1, 'authorAffiliations': {'authorAffiliation': ['School of Electrical Engineering, Shanghai University of Electric Power, Shanghai, China']}}, {'affiliation': 'School of Electrical Engineering, Shanghai University of Electric Power, Shanghai, China', 'authorUrl': 'https://ieeexplore.ieee.org/author/37086196579', 'id': 37086196579, 'full_name': 'Haijun Xing', 'author_order': 2, 'authorAffiliations': {'authorAffiliation': ['School of Electrical Engineering, Shanghai University of Electric Power, Shanghai, China']}}, {'affiliation': 'School of Electrical Engineering, Shanghai University of Electric Power, Shanghai, China', 'authorUrl': 'https://ieeexplore.ieee.org/author/37089679891', 'id': 37089679891, 'full_name': 'Chenghao Huang', 'author_order': 3, 'authorAffiliations': {'authorAffiliation': ['School of Electrical Engineering, Shanghai University of Electric Power, Shanghai, China']}}, {'affiliation': 'School of Electrical Engineering, Shanghai University of Electric Power, Shanghai, China', 'authorUrl': 'https://ieeexplore.ieee.org/author/884489864508066', 'id': 884489864508066, 'full_name': 'Qizhen Guo', 'author_order': 4, 'authorAffiliations': {'authorAffiliation': ['School of Electrical Engineering, Shanghai University of Electric Power, Shanghai, China']}}]}","Based on Carbon Peaking and Carbon Neutrality Goals by the Chinese government, green energy power generation technology is developing rapidly. In order to study the carbon efficiency level of green energy power generation projects, this paper puts forward a carbon efficiency grading evaluation method considering multiple indicators. Firstly, based on big data processing methods, the massive power generation data of green energy power stations are preprocessed. Secondly, considering multiple indicators such as energy consumption and output, carbon reduction effect and new energy consumption level, it is proposed to construct a carbon efficiency evaluation indicator system from the perspective of carbon. Then, the key evaluation indicators and their characteristic weights are screened out by applying Analytic Hierarchy Process (AHP) and Fuzzy Mathematical methods, so as to obtain the final comprehensive evaluation results and assign a graded carbon efficiency code to green energy power generation. Finally, combined with the examples, it is verified that the research method proposed in this paper can quantify the carbon efficiency level of green power generation projects, and can reflect the carbon reduction efficiency of green energy power generation projects in a more comprehensive way.",26-28 April 2024,"2024 7th International Conference on Energy, Electrical and Power Engineering (CEEPE)",10.1109/CEEPE62022.2024.10586574,0
Designing a Sustainable Green Accounting System Based on Enterprise Resource Planning for Leather Tanning Industry,"{'authors': [{'affiliation': 'Information System Department, Telkom University, Bandung, Indonesia', 'authorUrl': 'https://ieeexplore.ieee.org/author/37088340862', 'id': 37088340862, 'full_name': 'Muhammad Rasyid Ridho Tobing', 'author_order': 1, 'authorAffiliations': {'authorAffiliation': ['Information System Department, Telkom University, Bandung, Indonesia']}}, {'affiliation': 'Industrial Engineering Department, Telkom University, Bandung, Indonesia', 'authorUrl': 'https://ieeexplore.ieee.org/author/37086833084', 'id': 37086833084, 'full_name': 'Ari Yanuar Ridwan', 'author_order': 2, 'authorAffiliations': {'authorAffiliation': ['Industrial Engineering Department, Telkom University, Bandung, Indonesia']}}, {'affiliation': 'Information System Department, Telkom University, Bandung, Indonesia', 'authorUrl': 'https://ieeexplore.ieee.org/author/37087096950', 'id': 37087096950, 'full_name': 'Muhardi Saputra', 'author_order': 3, 'authorAffiliations': {'authorAffiliation': ['Information System Department, Telkom University, Bandung, Indonesia']}}]}","This study designs a Supply Chain Management (SCM) system using Enterprise Resource Planning (ERP) based on a green accounting module. ERP is an information system that can integrate, monitor, and record every process and transaction in the company. This study also uses literature related to the application of environmental quality management and green standards in Indonesia. The result of this study is an ERP system design using open source software and green accounting modules and will integrate cost, environmental, and social aspects to enhance sustainable industry and increase its value. This study resulted in several user requirements, system requirements, and made into the proposed business process design. Then, the system designed will be developed and will be implemented if needed by the user of the system.",5-6 Dec. 2019,2019 International Seminar on Research of Information Technology and Intelligent Systems (ISRITI),10.1109/ISRITI48646.2019.9034561,2
Digital medical image compression algorithm using adaptive Huffman coding and graph based quantization based on IWT-SVD,"{'authors': [{'affiliation': 'School of Computing, Telkom University, Bandung, Indonesia', 'authorUrl': 'https://ieeexplore.ieee.org/author/37087422482', 'id': 37087422482, 'full_name': 'Putu Ayu Indira Savitri', 'author_order': 1, 'authorAffiliations': {'authorAffiliation': ['School of Computing, Telkom University, Bandung, Indonesia']}}, {'affiliation': 'School of Computing, Telkom University, Bandung, Indonesia', 'authorUrl': 'https://ieeexplore.ieee.org/author/38488970600', 'id': 38488970600, 'full_name': 'Adiwijaya', 'author_order': 2, 'authorAffiliations': {'authorAffiliation': ['School of Computing, Telkom University, Bandung, Indonesia']}}, {'affiliation': 'School of Computing, Telkom University, Bandung, Indonesia', 'authorUrl': 'https://ieeexplore.ieee.org/author/37085826864', 'id': 37085826864, 'full_name': 'Danang Triantoro Murdiansyah', 'author_order': 3, 'authorAffiliations': {'authorAffiliation': ['School of Computing, Telkom University, Bandung, Indonesia']}}, {'affiliation': 'School of Computing, Telkom University, Bandung, Indonesia', 'authorUrl': 'https://ieeexplore.ieee.org/author/37085826317', 'id': 37085826317, 'full_name': 'Widi Astuti', 'author_order': 4, 'authorAffiliations': {'authorAffiliation': ['School of Computing, Telkom University, Bandung, Indonesia']}}]}","Currently, the data storage medium in digital form are widely applied in various fields, including in the medical world. The excessive size of the digital medical image digital poses problems in terms of storage and the time to transmit these images through the Internet. To overcome these problems, a digital image compression can be conducted. This procedure is conducted to maintain the image quality therefore it does not affect the outcome of a medical image diagnosis. In [1], it has carried out and examined the implementation of the wavelet-based image compression SVD, where the quantity process using graph coloring and for entropy encoding using Arithmetic Coding. In this paper, the data used is a medical image. Furthermore, it has been designed an image compression system based on Integer Wavelet Transform (IWT) and SVD. Graph-based quantization used still refers to [1], but entropy encoding used is adaptive Huffman coding. In addition, IWT used in this system because it is reversible. Performance compression system designed to produce an average PSNR value in the range of 50–53 dB and the compression ratio ranges from 78–85%.",25-27 May 2016,2016 4th International Conference on Information and Communication Technology (ICoICT),10.1109/ICoICT.2016.7571902,5
New generation of digital academic-transcripts using encrypted QR code™: Use of encrypted QR code™ in mark-sheets (academic transcripts),"{'authors': [{'affiliation': 'Department of Computer Science, St. Xaviers College, Kolkata, India', 'authorUrl': 'https://ieeexplore.ieee.org/author/37086523117', 'id': 37086523117, 'full_name': 'Somdip Dey', 'author_order': 1, 'authorAffiliations': {'authorAffiliation': ['Department of Computer Science, St. Xaviers College, Kolkata, India']}}]}","Today, because of ever growing digital data, it is very important to optimize these data and preserve them in an eco-friendly manner. In this paper, the author presents a new method to digitize the academic transcript i.e. mark-sheets, and embed the digital format in the mark-sheet itself in the form of encrypted QR Code™, so that the digital data can not be retrieved by any unauthorized user. In this way, we can save a lot of digital space, which was necessary to save those digital academic records of each student. In our new marksheet system, the digital data, which is embedded in the marksheet in form of encrypted QR code, can only be retrieved and decrypted using our own web-application, which is hosted in our website. Our new mark-sheet system introduces a new generation of digital academic transcripts, which is already under implementation in our St. Xavier's College [Autonomous], Kolkata, India, and till now the implementation results and success of the system have been remarkable.",22-23 March 2013,"2013 International Mutli-Conference on Automation, Computing, Communication, Control and Compressed Sensing (iMac4s)",10.1109/iMac4s.2013.6526429,6
Space-Time Block Coding Blind Classification for Green MIMO-OFDM Communication,"{'authors': [{'affiliation': ""Xidian University,State Key Laboratory of Integrated Service Networks,Shaanxi,Xi'an,China,710071"", 'authorUrl': 'https://ieeexplore.ieee.org/author/37086358941', 'id': 37086358941, 'full_name': 'Junlin Zhang', 'author_order': 1, 'authorAffiliations': {'authorAffiliation': [""Xidian University,State Key Laboratory of Integrated Service Networks,Shaanxi,Xi'an,China,710071""]}}, {'affiliation': ""Xidian University,State Key Laboratory of Integrated Service Networks,Shaanxi,Xi'an,China,710071"", 'authorUrl': 'https://ieeexplore.ieee.org/author/37401508800', 'id': 37401508800, 'full_name': 'Mingqian Liu', 'author_order': 2, 'authorAffiliations': {'authorAffiliation': [""Xidian University,State Key Laboratory of Integrated Service Networks,Shaanxi,Xi'an,China,710071""]}}, {'affiliation': 'Department of Engineering, University of Durham, Durham, UK DH1 3LE, UK', 'authorUrl': 'https://ieeexplore.ieee.org/author/38477342000', 'id': 38477342000, 'full_name': 'Yunfei Chen', 'author_order': 3, 'authorAffiliations': {'authorAffiliation': ['Department of Engineering, University of Durham, Durham, UK DH1 3LE, UK']}}, {'affiliation': 'School of Information and Communication Engineering, Dalian University of Technology, Dalian, China', 'authorUrl': 'https://ieeexplore.ieee.org/author/37089123396', 'id': 37089123396, 'full_name': 'Nan Zhao', 'author_order': 4, 'authorAffiliations': {'authorAffiliation': ['School of Information and Communication Engineering, Dalian University of Technology, Dalian, China']}}]}","Signal classification plays a pivotal role in cognitive radio networks. This problem becomes more challenging for multiple-input multiple-output orthogonal frequency division multiplexing (MIMO-OFDM) systems employing linear space-time block code (STBC). This paper introduces a novel classification scheme to exploit the generalized cross-correntropy function to classify STBC-OFDM signals in the presence of impulsive interference. This scheme relies on the generalized cross-correntropy statistics of the STBC-OFDM signals to construct the strongly-distinguishable discriminating matrix. The proposed scheme avoids the estimation of channel coefficients, noise and interference statistics, and modulation types. Numerical results are presented to show that the proposed scheme provides acceptable classification performance in the presence of Gaussian noise and impulsive interference.",4-8 Dec. 2023,GLOBECOM 2023 - 2023 IEEE Global Communications Conference,10.1109/GLOBECOM54140.2023.10437436,0
On the performance of LDPC-RS product codes for mobile DTV,"{'authors': [{'affiliation': 'Shanghai Jiaotong University, China', 'authorUrl': 'https://ieeexplore.ieee.org/author/38468196900', 'id': 38468196900, 'full_name': 'Yaqi Li', 'author_order': 1, 'authorAffiliations': {'authorAffiliation': ['Shanghai Jiaotong University, China']}}, {'affiliation': 'Shanghai Jiaotong University, China', 'authorUrl': 'https://ieeexplore.ieee.org/author/37089735591', 'id': 37089735591, 'full_name': 'Bo Liu', 'author_order': 2, 'authorAffiliations': {'authorAffiliation': ['Shanghai Jiaotong University, China']}}, {'affiliation': 'Communications Rcscarch Centre, Canada', 'authorUrl': 'https://ieeexplore.ieee.org/author/37284111200', 'id': 37284111200, 'full_name': 'Bo Rong', 'author_order': 3, 'authorAffiliations': {'authorAffiliation': ['Communications Rcscarch Centre, Canada']}}, {'affiliation': 'Communications Rcscarch Centre, Canada', 'authorUrl': 'https://ieeexplore.ieee.org/author/37281231400', 'id': 37281231400, 'full_name': 'Yiyan Wu', 'author_order': 4, 'authorAffiliations': {'authorAffiliation': ['Communications Rcscarch Centre, Canada']}}, {'affiliation': 'Communications Rcscarch Centre, Canada', 'authorUrl': 'https://ieeexplore.ieee.org/author/37290454000', 'id': 37290454000, 'full_name': 'Gilles Gagnon', 'author_order': 5, 'authorAffiliations': {'authorAffiliation': ['Communications Rcscarch Centre, Canada']}}, {'affiliation': 'Shanghai Jiaotong University, China', 'authorUrl': 'https://ieeexplore.ieee.org/author/37409860500', 'id': 37409860500, 'full_name': 'Lin Gui', 'author_order': 6, 'authorAffiliations': {'authorAffiliation': ['Shanghai Jiaotong University, China']}}, {'affiliation': 'Shanghai Jiaotong University, China', 'authorUrl': 'https://ieeexplore.ieee.org/author/37278428800', 'id': 37278428800, 'full_name': 'Wenjun Zhang', 'author_order': 7, 'authorAffiliations': {'authorAffiliation': ['Shanghai Jiaotong University, China']}}]}","This paper proposes an LDPC-RS product codes for the future terrestrial DTV system, which has to face an increasing demand of high spectrum efficiency and reliability. Particularly, we develop an adaptive decoding algorithm that can switch dynamically according to the SNR of received signals. Our algorithm consists of two key approaches, namely error estimation (EE) and soft value modification (SVM). Simulation results show that our proposed LDPC-RS product codes can correct mixed types of errors (random/burst) and achieve lower BER with less computational complexity.",27-29 June 2012,IEEE international Symposium on Broadband Multimedia Systems and Broadcasting,10.1109/BMSB.2012.6264305,4
A Directly Readable Halftone Multifunctional Color QR Code,"{'authors': [{'affiliation': 'Information and Communication Engineering, Beijing Institute of Graphic Communnication, Beijing, China', 'full_name': 'Yuan Huang', 'author_order': 1, 'authorAffiliations': {'authorAffiliation': ['Information and Communication Engineering, Beijing Institute of Graphic Communnication, Beijing, China']}}, {'affiliation': 'Information and Communication Engineering, Beijing Institute of Graphic Communnication, Beijing, China', 'full_name': 'Peng Cao', 'author_order': 2, 'authorAffiliations': {'authorAffiliation': ['Information and Communication Engineering, Beijing Institute of Graphic Communnication, Beijing, China']}}, {'affiliation': 'Information and Communication Engineering, Beijing Institute of Graphic Communnication, Beijing, China', 'full_name': 'Guangwu Lyu', 'author_order': 3, 'authorAffiliations': {'authorAffiliation': ['Information and Communication Engineering, Beijing Institute of Graphic Communnication, Beijing, China']}}]}","Color quick response (QR) code is an important direction for the future development of QR code, which has become a research hotspot due to the additional functional characteristics of its colors as the wide application of QR code technology. The existing color QR code has solved the problem of information storage capacity, but it requires an enormous hardware and software support system, making how to achieve its direct readability an urgent issue. This paper proposes a novel color QR code that combines multiple types of different identification information. This code combines multiplexing and color-coding technology to present the publicly encoded information (such as advertisements, public query information) as plain code, and traceability, blockchain, anti-counterfeiting authentication and other information concealed in the form of hidden code. We elaborate the basic principle of this code, construct its mathematical model and supply a set of algorithm design processes, which breakthrough key technology of halftone printout. The experimental results show that the proposed color quick response code realizes the multi-code integration and can be read directly without special scanning equipment, which has unique advantages in the field of printing anti-counterfeiting labels.",May 2023,Chinese Journal of Electronics,10.23919/cje.2021.00.366,2
Visual QR codes with lossless picture embedding,"{'authors': [{'affiliation': 'Dept. of Electronic and Computer Engineering, National Taiwan Univ. of Science and Technology, Taipei, Taiwan, ROC', 'authorUrl': 'https://ieeexplore.ieee.org/author/37332369300', 'id': 37332369300, 'full_name': 'Kuen-Tsair Lay', 'author_order': 1, 'authorAffiliations': {'authorAffiliation': ['Dept. of Electronic and Computer Engineering, National Taiwan Univ. of Science and Technology, Taipei, Taiwan, ROC']}}, {'affiliation': 'Dept. of Electronic and Computer Engineering, National Taiwan Univ. of Science and Technology, Taipei, Taiwan, ROC', 'authorUrl': 'https://ieeexplore.ieee.org/author/37086408135', 'id': 37086408135, 'full_name': 'Ting-Chun Chen', 'author_order': 2, 'authorAffiliations': {'authorAffiliation': ['Dept. of Electronic and Computer Engineering, National Taiwan Univ. of Science and Technology, Taipei, Taiwan, ROC']}}]}","In spite of the widespread use of QR codes in various applications, one problem with them is that they have low human visualization effect. One approach to tackle this problem is QR code beautification, to which this work can be classified as belonging. With the proposed method, original pictures (or big logos) can be embedded into QR codes with no loss in visual quality.",22-25 April 2018,2018 3rd International Conference on Intelligent Green Building and Smart Grid (IGBSG),10.1109/IGBSG.2018.8393546,1
GCOTSC: Green Coding Techniques for Online Teaching Screen Content Implemented in AVS3,"{'authors': [{'affiliation': 'Department of Computer Science and Engineering and Institute of Artificial Intelligence, Shaoxing University, Shaoxing, China', 'authorUrl': 'https://ieeexplore.ieee.org/author/37085724880', 'id': 37085724880, 'full_name': 'Liping Zhao', 'author_order': 1, 'authorAffiliations': {'authorAffiliation': ['Department of Computer Science and Engineering and Institute of Artificial Intelligence, Shaoxing University, Shaoxing, China', 'Information Technology R&D Innovation Center, Peking University, Shaoxing, China']}}, {'affiliation': 'School of Mathematical Information, Shaoxing University, Shaoxing, China', 'authorUrl': 'https://ieeexplore.ieee.org/author/37087986716', 'id': 37087986716, 'full_name': 'Zhuge Yan', 'author_order': 2, 'authorAffiliations': {'authorAffiliation': ['School of Mathematical Information, Shaoxing University, Shaoxing, China']}}, {'affiliation': 'Information Technology R&D Innovation Center, Peking University, Shaoxing, China', 'authorUrl': 'https://ieeexplore.ieee.org/author/37089939552', 'id': 37089939552, 'full_name': 'Zehao Wang', 'author_order': 3, 'authorAffiliations': {'authorAffiliation': ['Information Technology R&D Innovation Center, Peking University, Shaoxing, China', 'College of Electronics and Information Engineering, Tongji University, Shanghai, China']}}, {'affiliation': 'College of Electronics and Information Engineering, Tongji University, Shanghai, China', 'authorUrl': 'https://ieeexplore.ieee.org/author/486441683550151', 'id': 486441683550151, 'full_name': 'Xu Wang', 'author_order': 4, 'authorAffiliations': {'authorAffiliation': ['College of Electronics and Information Engineering, Tongji University, Shanghai, China']}}, {'affiliation': 'Department of Computer Science and Engineering and Institute of Artificial Intelligence, Shaoxing University, Shaoxing, China', 'authorUrl': 'https://ieeexplore.ieee.org/author/37085861328', 'id': 37085861328, 'full_name': 'Keli Hu', 'author_order': 5, 'authorAffiliations': {'authorAffiliation': ['Department of Computer Science and Engineering and Institute of Artificial Intelligence, Shaoxing University, Shaoxing, China', 'Information Technology R&D Innovation Center, Peking University, Shaoxing, China', 'Department of Gastroenterology, Cancer Center, Zhejiang Provincial People’s Hospital, Hangzhou, China']}}, {'affiliation': 'Department of Computer Science and Engineering and Institute of Artificial Intelligence, Shaoxing University, Shaoxing, China', 'authorUrl': 'https://ieeexplore.ieee.org/author/37598392100', 'id': 37598392100, 'full_name': 'Huawen Liu', 'author_order': 6, 'authorAffiliations': {'authorAffiliation': ['Department of Computer Science and Engineering and Institute of Artificial Intelligence, Shaoxing University, Shaoxing, China']}}, {'affiliation': 'College of Electronics and Information Engineering, Tongji University, Shanghai, China', 'authorUrl': 'https://ieeexplore.ieee.org/author/37090091150', 'id': 37090091150, 'full_name': 'Tao Lin', 'author_order': 7, 'authorAffiliations': {'authorAffiliation': ['College of Electronics and Information Engineering, Tongji University, Shanghai, China']}}]}","During and following the global COVID-19 pandemic, the use of screen content coding applications such as large-scale cloud office, online teaching, and teleconferencing has surged. The vast amount of online data generated by these applications, especially online teaching, has become a vital source of Internet video traffic. Consequently, there is an urgent need for low-complexity online teaching screen content (OTSC) coding techniques. Energy-efficient low-complexity green coding techniques for OTSC, named GCOTSC, are proposed based on the unique characteristics of OTSC. In the inter-frame prediction mode, the input frames are first divided into visually constant frames (VCFs) and non-VCFs using a VCF identifier. A new VCF mode has been proposed to code VCFs efficiently. In the intra-frame prediction mode, a heuristic multi-type least probable option skip mode based on static and dynamic historical information is proposed. Compared with the AVS3 screen content coding algorithm, using the typical online teaching screen content and AVS3 SCC common test condition, the experimental results show that the GOTSC achieves an average 59.06% reduction of encoding complexity in low delay configuration, with almost no impact on coding efficiency.",March 2024,IEEE Transactions on Broadcasting,10.1109/TBC.2023.3340042,1
Optimized run length coding for jpeg image compression used in space research program of IST,"{'authors': [{'affiliation': 'Department of Communication Systems Engineering, Institute of Space Technology, Islamabad, Pakistan', 'authorUrl': 'https://ieeexplore.ieee.org/author/38563197700', 'id': 38563197700, 'full_name': 'Muhammad Bilal Akhtar', 'author_order': 1, 'authorAffiliations': {'authorAffiliation': ['Department of Communication Systems Engineering, Institute of Space Technology, Islamabad, Pakistan']}}, {'affiliation': 'Department of Communication Systems Engineering, Institute of Space Technology, Islamabad, Pakistan', 'authorUrl': 'https://ieeexplore.ieee.org/author/37086767175', 'id': 37086767175, 'full_name': 'Adil Masoud Qureshi', 'author_order': 2, 'authorAffiliations': {'authorAffiliation': ['Department of Communication Systems Engineering, Institute of Space Technology, Islamabad, Pakistan']}}, {'affiliation': 'Department of Communication Systems Engineering, Institute of Space Technology, Islamabad, Pakistan', 'authorUrl': 'https://ieeexplore.ieee.org/author/37086769768', 'id': 37086769768, 'full_name': 'Qamar-ul-Islam', 'author_order': 3, 'authorAffiliations': {'authorAffiliation': ['Department of Communication Systems Engineering, Institute of Space Technology, Islamabad, Pakistan']}}]}","This work aims to present an optimized scheme for entropy encoding part of JPEG image compression by modifying the run length encoding method. In JPEG (Joint Photographic Experts Group) image compression algorithm run length coding performs the actual compression by removing the redundancy from transformed and quantized image data. Using the fact that the preceding processes of run length coding, in JPEG compression algorithm, produces a large number of zeros, the original run length coding uses an ordered pair (a,b), where `a' is the length of consecutive zeros preceding the ASCII character `b'. It has been observed the occurrence of consecutive ASCII characters at the input introduce another redundancy to the encoded data, i.e. `a = 0' before each consecutive ASCII character `b'. The proposed run length encoding scheme removes the unintended redundancy by using an ordered pair only when a zero occurs and using the same EOB (End of Block) parameter at the end of each block. The proposed encoding scheme does not alter the PSNR value for the algorithm. Using Matlab simulation, the proposed scheme has been tested on various images over a range of quantization (quality) factor and the results confirmed the effectiveness of the new run length encoding scheme in reducing the run length encoded data.",11-13 July 2011,International Conference on Computer Networks and Information Technology,10.1109/ICCNIT.2011.6020912,7
Green Mining for Android Based Applications Using Refactoring Approach,"{'authors': [{'affiliation': 'Amity School of Engineering and Technology Amity University, Noida, Uttar Pradesh', 'authorUrl': 'https://ieeexplore.ieee.org/author/37089030442', 'id': 37089030442, 'full_name': 'Nissy Saju', 'author_order': 1, 'authorAffiliations': {'authorAffiliation': ['Amity School of Engineering and Technology Amity University, Noida, Uttar Pradesh']}}, {'affiliation': 'Amity School of Engineering and Technology Amity University, Noida, Uttar Pradesh', 'authorUrl': 'https://ieeexplore.ieee.org/author/37089030892', 'id': 37089030892, 'full_name': 'Jaya Garg', 'author_order': 2, 'authorAffiliations': {'authorAffiliation': ['Amity School of Engineering and Technology Amity University, Noida, Uttar Pradesh']}}, {'affiliation': 'Amity School of Engineering and Technology Amity University, Noida, Uttar Pradesh', 'authorUrl': 'https://ieeexplore.ieee.org/author/37088340297', 'id': 37088340297, 'full_name': 'Rajni Sehgal', 'author_order': 3, 'authorAffiliations': {'authorAffiliation': ['Amity School of Engineering and Technology Amity University, Noida, Uttar Pradesh']}}, {'affiliation': 'Amity School of Engineering and Technology Amity University, Noida, Uttar Pradesh', 'authorUrl': 'https://ieeexplore.ieee.org/author/37588461700', 'id': 37588461700, 'full_name': 'Renuka Nagpal', 'author_order': 4, 'authorAffiliations': {'authorAffiliation': ['Amity School of Engineering and Technology Amity University, Noida, Uttar Pradesh']}}]}","The need for green programming arrangement is consistently becoming greater particularly with regards to cell phones., where the control is frequently restricted by battery life. Green mining is the part of programming designing liable for distinguishing the causes for “energy leaks””., correspondingly for the reasonable solutions to manage them. A few significant exploration steps have been made and regardless of the ever-expanding number of observational investigations pointed toward understanding the explanations for the presence of energy-leaks in the source code. These smells offer a bunch of unpleasant programming practices in Android applications. The paper aims to provide a more extensive connection among smells and energy proficiency and calculate energy utilization for android apps and make “energy-aware refactoring approach for Mobile Apps””. The results show that dreadful number of code-smells are present in the applications., hence., its needed to be removed and correspondingly may result in much better functioning of applications.",3-4 Sept. 2021,"2021 9th International Conference on Reliability, Infocom Technologies and Optimization (Trends and Future Directions) (ICRITO)",10.1109/ICRITO51393.2021.9596476,0
Performance improvement of LDPC codes using soft input decryption,"{'authors': [{'affiliation': 'Dept. of Electronics and Communication, Mar Baselios College of Engineering & Technology, Kerala, India', 'authorUrl': 'https://ieeexplore.ieee.org/author/37085354899', 'id': 37085354899, 'full_name': 'S Nandan.', 'author_order': 1, 'authorAffiliations': {'authorAffiliation': ['Dept. of Electronics and Communication, Mar Baselios College of Engineering & Technology, Kerala, India']}}, {'affiliation': 'National Institute of Technology Calicut, Calicut, Kerala, IN', 'authorUrl': 'https://ieeexplore.ieee.org/author/37946132800', 'id': 37946132800, 'full_name': 'P.P Deepthi.', 'author_order': 2, 'authorAffiliations': {'authorAffiliation': ['National Institute of Technology Calicut, Calicut, Kerala, IN']}}]}","A novel method to improve the performance of Low Density Parity Check (LDPC) Codes using Soft Input Decryption is presented in this paper. A channel coding technique that provides performance near to Shannon's limit is LDPC code. To achieve optimum decoding, Sum-product decoding is used for LDPC Codes. The Soft Input Decryption method is based on the combination of cryptography and channel coding. Cryptographic checksum called hash is used to improve the performance of Turbo coding. Hash value is appended to the transmitted information for data integrity verification. The least reliable soft output values of the channel decoder are modified until the data integrity verification is successful. Results show that a significant improvement in the performance of channel coding can be achieved using soft input decryption.",18-20 Dec. 2012,2012 International Conference on Green Technologies (ICGT),10.1109/ICGT.2012.6477939,0
Evaluating Code Sustainability: A Comprehensive Study of Metrics and Tools,"{'authors': [{'affiliation': ""IT Dept, MKSSS's Cummins College, Aff. to Savitribai Phule Pune University, Pune, India"", 'authorUrl': 'https://ieeexplore.ieee.org/author/445314266633911', 'id': 445314266633911, 'full_name': 'Rishita Tiwari', 'author_order': 1, 'authorAffiliations': {'authorAffiliation': [""IT Dept, MKSSS's Cummins College, Aff. to Savitribai Phule Pune University, Pune, India""]}}, {'affiliation': ""IT Dept, MKSSS's Cummins College, Aff. to Savitribai Phule Pune University, Pune, India"", 'authorUrl': 'https://ieeexplore.ieee.org/author/37086035991', 'id': 37086035991, 'full_name': 'Sneha Thombre', 'author_order': 2, 'authorAffiliations': {'authorAffiliation': [""IT Dept, MKSSS's Cummins College, Aff. to Savitribai Phule Pune University, Pune, India""]}}, {'affiliation': ""IT Dept, MKSSS's Cummins College, Aff. to Savitribai Phule Pune University, Pune, India"", 'authorUrl': 'https://ieeexplore.ieee.org/author/640849601731766', 'id': 640849601731766, 'full_name': 'Deepali Patel', 'author_order': 3, 'authorAffiliations': {'authorAffiliation': [""IT Dept, MKSSS's Cummins College, Aff. to Savitribai Phule Pune University, Pune, India""]}}, {'affiliation': ""IT Dept, MKSSS's Cummins College, Aff. to Savitribai Phule Pune University, Pune, India"", 'authorUrl': 'https://ieeexplore.ieee.org/author/954048528789868', 'id': 954048528789868, 'full_name': 'Khushi Tilokani', 'author_order': 4, 'authorAffiliations': {'authorAffiliation': [""IT Dept, MKSSS's Cummins College, Aff. to Savitribai Phule Pune University, Pune, India""]}}, {'affiliation': ""IT Dept, MKSSS's Cummins College, Aff. to Savitribai Phule Pune University, Pune, India"", 'authorUrl': 'https://ieeexplore.ieee.org/author/594764762652718', 'id': 594764762652718, 'full_name': 'Shreya Amritkar', 'author_order': 5, 'authorAffiliations': {'authorAffiliation': [""IT Dept, MKSSS's Cummins College, Aff. to Savitribai Phule Pune University, Pune, India""]}}]}","The software industry's carbon emissions are a pressing global concern, with a growing focus on non-consumptive environmental practices. However, the absence of a universal standard to measure the environmental impact of software hinders progress in making software more eco-friendly. This work aims to address this crucial problem by delving into the concept of “greenness” in code. We explore innovative methods and tools to measure the ecological footprint of software. Our research involves a comprehensive review of existing models and metrics used to evaluate code sustainability. Our main focus is on analyzing current tools designed to assess and grade software projects based on their environmental impact. This forward-thinking approach aims to promote eco-conscious software development practices and reduce the industry's carbon footprint. By providing developers with a tool to assess the environmental impact of their code, we hope to contribute to a more sustainable and eco-friendly software industry. Our goal is to simplify the path towards greener software, aligning the industry with global sustainability efforts.",22-23 Nov. 2023,2023 IEEE Engineering Informatics,10.1109/IEEECONF58110.2023.10520542,0
